idx,Destino_ID,lat,lon
332,9100366443,41.544055,2.217529
333,9100366724,41.572719,2.236508
334,9100366732,41.544312,2.219483
335,9100366733,41.543914,2.218990
336,9100366757,41.574475,2.224303
337,9100369663,42.101416,2.217642
338,9100371601,41.620560,2.213236
339,9100371825,41.542549,2.215431
340,9100372136,41.988645,2.313814
341,9100373506,41.540110,2.267935
342,9100373615,41.607636,2.288262
343,9100373640,41.608595,2.288901
344,9100373641,41.608595,2.288901
345,9100374304,41.920584,2.250764
346,9100374429,41.929996,2.255261
347,9100377532,41.533144,2.235363
348,9100378362,42.063195,2.274057
349,9100382635,41.574478,2.223925
350,9100383438,41.984288,2.309861
351,9100385693,41.937876,2.310099
352,9100389125,41.924275,2.260045
353,9100389358,41.929289,2.256557
354,9100397795,41.939777,2.238478
355,9100399265,41.608972,2.286018
356,9100399521,41.925704,2.246415
357,9100403364,41.539612,2.209980
358,9100409671,41.925199,2.253796
359,9100410532,41.619556,2.297708
360,9100410610,42.046704,2.261985
361,9100411152,41.925704,2.246415
362,9100411688,41.619556,2.297708
363,9100413240,41.574478,2.223925
364,9100413328,41.534891,2.214658
365,9100414445,41.589750,2.204847
366,9100416412,41.946983,2.257683
367,9100419900,41.929799,2.254753
368,9100420376,42.011587,2.290393
369,9100420786,41.600819,2.284991
370,9100423519,41.939043,2.253095
371,9100423767,41.591467,2.261449
372,9100424065,41.551043,2.247244
373,9100432797,41.623917,2.293605
374,9100433466,42.003172,2.241584
375,9100443296,38.742235,-0.442619
376,9100443450,41.928471,2.246344
377,9100445926,41.607334,2.286295
378,9100446439,41.946460,2.256035
379,9100447655,41.523399,2.223953
380,9100451636,41.946403,2.239116
381,9100453983,41.925704,2.246415
382,9100461830,42.050770,2.256546
383,9100466233,41.536380,2.217068
384,9100466625,41.930915,2.256203
385,9100467331,41.543008,2.219626
386,9100468310,41.585262,2.210596
387,9100469494,41.607619,2.284436
388,9100471566,41.928317,2.252113
389,9100473327,42.126940,2.257279
390,9100473447,41.890757,2.337028
391,9100473659,41.846251,2.231976
392,9100474233,41.535443,2.435014
