direccion_normalizada,lat_orig,lon_orig,lat_snap,lon_snap,snap_dist_m,calle,highway_type,hgv_ok
CALLE ARAGO 13|08150|PARETS DEL VALLES,41.573134,2.233839,41.573072,2.233868,7.30,Carrer Major,,1
CALLE BAC DE RODA 40|08510|RODA DE TER,41.984288,2.309861,41.984288,2.309861,0.00,Carrer de Bac de Roda,,1
CALLE BAC DE RODA 44|08510|RODA DE TER,41.984288,2.309861,41.984288,2.309861,0.00,Carrer de Bac de Roda,,1
CALLE BAC DE RODA 45|08510|RODA DE TER,41.984288,2.309861,41.984288,2.309861,0.00,Carrer de Bac de Roda,,1
CALLE BARCELONA 10|08551|TONA,41.849940,2.229188,41.850092,2.229236,17.35,Carrer de la Font,,1
CALLE BATLLE SERRALLONGA 11|08512|SANT HIPOLIT DE VOLTREGA,42.016205,2.238856,42.016116,2.238935,11.85,Carrer Batlle Serrallonga,,1
CALLE BELLMUNT 12|08503|GURB,41.940727,2.246956,41.940727,2.246956,0.00,Carrer de Bellmunt,,1
CALLE BERENGUER III 118|08100|MOLLET DEL VALLES,41.535829,2.215909,41.535885,2.215986,8.94,Carrer de Berenguer III,,1
CALLE BLAS INFANTE 8|08170|MONTORNES DEL VALLES,41.540498,2.263486,41.540498,2.263486,0.00,Carrer de Blas Infante,,1
CALLE CABRERES 2|08500|VIC,41.950159,2.282347,41.950159,2.282347,0.00,Carrer del Cabrerès,,1
CALLE CAMP DE LES MORERES 2|08401|GRANOLLERS,41.600215,2.281061,41.600215,2.281061,0.00,Carrer Camp de les Moreres,,1
CALLE CAMP DE LES MORERES 5|08401|GRANOLLERS,41.600215,2.281061,41.600215,2.281061,0.00,Carrer Camp de les Moreres,,1
CALLE CAN CASARRAMONA 26|08570|TORELLO,42.053735,2.243269,42.053735,2.243269,0.00,Carrer de Can Casarramona,,1
CALLE CAN MOLLET 30|08100|MOLLET DEL VALLES,41.543914,2.218990,41.543959,2.218910,8.34,Carrer de Can Mollet,,1
CALLE CAN PANTIQUET 22|08100|MOLLET DEL VALLES,41.547811,2.219655,41.547897,2.219506,15.68,Carrer del Pintor Joaquim Mir,,1
CALLE CAN PANTIQUET 26|08100|MOLLET DEL VALLES,41.547628,2.219969,41.547742,2.220089,16.14,Carrer de Lluís Millet,,1
CALLE CANIGO 1|08507|SANTA EUGENIA DE BERGA,41.899871,2.282198,41.899871,2.282198,0.00,Carrer del Canigó,,1
CALLE CARRERADA 11|08107|MARTORELLES,41.533144,2.235363,41.533144,2.235363,0.00,Carrer de la Carrerada,,1
CALLE CASTELLTERCOL 1-3|08401|GRANOLLERS,41.592128,2.282781,41.592128,2.282781,0.00,Carrer Castellterçol,,1
CALLE CELLECS 6|08520|LES FRANQUESES DEL VALLES,41.627019,2.298412,41.627019,2.298412,0.00,Carrer de Cèllecs,,1
CALLE CONESTABLE DE PORTUGAL 13|08402|GRANOLLERS,41.605162,2.289417,41.605162,2.289417,0.00,Carrer Condestable de Portugal,,1
CALLE CONGOST 1|08150|PARETS DEL VALLES,41.554665,2.233547,41.554666,2.233547,0.11,Carrer del Congost,,1
CALLE CRISTOFOL COLOM 16|08402|GRANOLLERS,41.600094,2.288506,41.600045,2.288493,5.55,Carrer de Cristòfor Colom,,1
CALLE CUBA 38|08302|MATARO,41.537544,2.440144,41.530476,2.389728,4280.52,,,0
CALLE DE CORRO 192|08401|GRANOLLERS,41.609465,2.288002,41.609582,2.288552,47.64,,,1
